"num_codigo";"num_codigo_exec";"num_codigo_liqu";"nom_orgao_orcamento_exec"
"2024.3.18.18401.417.1926.500024.5";"2024.3.18.18401.417.1926.500024.5";"2024.5205168.18401.1.500024.417.1926.57452.5";"Secretaria de Desenvolvimento Rural"
"2024.3.18.18401.417.1926.500024.5";"2024.3.18.18401.417.1926.500024.5";"2024.5205667.18401.0.500024.417.1926.57452.5";"Secretaria de Desenvolvimento Rural"
"2026.3.28.28101.405.5649.500098.5";"2026.3.28.28101.405.5649.500098.5";"2026.6192087.28101.0.500098.405.5649.93815.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2026.3.28.28101.405.5649.500098.5";"2026.3.28.28101.405.5649.500098.5";"2026.6193503.28101.1.500098.405.5649.93815.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2026.3.28.28101.405.5649.500098.5";"2026.3.28.28101.405.5649.500098.5";"2026.6193502.28101.1.500098.405.5649.93815.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2026.3.28.28101.405.5649.500098.5";"2026.3.28.28101.405.5649.500098.5";"2026.6192778.28101.0.500098.405.5649.93815.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2026.3.28.28101.405.5649.500098.5";"2026.3.28.28101.405.5649.500098.5";"2026.6192779.28101.0.500098.405.5649.93815.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2026.3.28.28101.405.5649.500098.5";"2026.3.28.28101.405.5649.500098.5";"2026.6192086.28101.1.500098.405.5649.93815.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2025.3.20.20801.437.7874.500070.5";"2025.3.20.20801.437.7874.500070.5";"2025.6178564.20801.0.500070.437.7874.86511.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.437.7874.500070.5";"2025.3.20.20801.437.7874.500070.5";"2025.6178596.20801.72.500070.437.7874.86511.5";"Secretaria da Segurança Pública"
"2019.3.11.11101.212.7744.500075.5";"2019.3.11.11101.212.7744.500075.5";"2019.3182159.11101.1.500075.212.7744.27719.5";"Secretaria da Educação"
"2019.3.11.11101.212.7744.500075.5";"2019.3.11.11101.212.7744.500075.5";"2019.3182226.11101.0.500075.212.7744.27719.5";"Secretaria da Educação"
"2019.3.11.11101.212.7744.500075.5";"2019.3.11.11101.212.7744.500075.5";"2019.3184606.11101.38.500075.212.7744.27719.5";"Secretaria da Educação"
"2025.3.20.20801.437.7880.500051.5";"2025.3.20.20101.437.7880.500051.5";"2025.5678451.20101.1.500051.437.7880.86501.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.437.7880.500051.5";"2025.3.20.20801.437.7880.500051.5";"2025.5661139.20801.1.500051.437.7880.86501.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.437.7880.500051.5";"2025.3.20.20801.437.7880.500051.5";"2025.5661427.20801.0.500051.437.7880.86501.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.437.7880.500051.5";"2025.3.20.20801.437.7880.500051.5";"2025.5668678.20801.70.500051.437.7880.86501.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.437.7880.500051.5";"2025.3.20.20101.437.7880.500051.5";"2025.5668678.20801.70.500051.437.7880.86501.5";"Secretaria da Segurança Pública"
"2025.3.20.20801.437.7880.500051.5";"2025.3.20.20801.437.7880.500051.5";"2025.5678451.20101.1.500051.437.7880.86501.5";"Secretaria da Segurança Pública"
"2025.3.21.21301.414.5779.500020.5";"2025.3.21.21301.414.5779.500020.5";"2025.5661488.21301.0.500020.414.5779.86488.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2025.3.21.21301.414.5779.500020.5";"2025.3.21.21301.414.5779.500020.5";"2025.5660995.21301.1.500020.414.5779.86488.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2026.3.22.22201.406.7980.500132.5";"2026.3.22.22201.406.7980.500132.5";"2026.6183304.22201.0.500132.406.7980.93955.5";"Secretaria de Cultura"
"2026.3.22.22201.406.7980.500132.5";"2026.3.22.22201.406.7980.500132.5";"2026.6182698.22201.1.500132.406.7980.93955.5";"Secretaria de Cultura"
"2017.3.19.19601.200.1099.500048.5";"2017.3.19.19601.200.1099.500048.5";"2017.2000850.19601.3.500048.200.1099.17107.5";"Secretaria da Saúde"
"2017.3.19.19601.200.1099.500048.5";"2017.3.19.19601.200.1099.500048.5";"2017.2001287.19601.0.500048.200.1099.17107.5";"Secretaria da Saúde"
"2025.3.19.19601.436.5607.500128.5";"2025.3.19.19601.436.5607.500128.5";"2025.5662127.19601.0.500128.436.5607.86562.5";"Secretaria da Saúde"
"2025.3.19.19601.436.5607.500128.5";"2025.3.19.19601.436.5607.500128.5";"2025.5662109.19601.3.500128.436.5607.86562.5";"Secretaria da Saúde"
"2017.3.18.18401.206.1926.500060.5";"2017.3.18.18401.206.1926.500060.5";"2017.2000749.18401.1.500060.206.1926.17137.5";"Secretaria de Desenvolvimento Rural"
"2017.3.18.18401.206.1926.500060.5";"2017.3.18.18401.206.1926.500060.5";"2017.2001306.18401.0.500060.206.1926.17137.5";"Secretaria de Desenvolvimento Rural"
"2023.3.21.21301.308.5793.500100.5";"2023.3.21.21301.308.5793.500100.5";"2023.4927102.21301.0.500100.308.5793.56941.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2023.3.21.21301.308.5793.500100.5";"2023.3.21.21301.308.5793.500100.5";"2023.4926514.21301.1.500100.308.5793.56941.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2021.3.19.19601.313.1099.500072.5";"2021.3.19.19601.313.1099.500072.5";"2021.4219442.19601.3.500072.313.1099.36332.5";"Secretaria da Saúde"
"2021.3.19.19601.313.1099.500072.5";"2021.3.19.19601.313.1099.500072.5";"2021.4219886.19601.0.500072.313.1099.36332.5";"Secretaria da Saúde"
"2018.3.11.11101.212.6594.500063.5";"2018.3.11.11101.212.6594.500063.5";"2018.2735818.11101.1.500063.212.6594.22470.5";"Secretaria da Educação"
"2018.3.11.11101.212.6594.500063.5";"2018.3.11.11101.212.6594.500063.5";"2018.2879228.11101.0.500063.212.6594.22470.5";"Secretaria da Educação"
"2018.3.11.11101.212.6594.500063.5";"2018.3.11.11101.212.6594.500063.5";"2018.2879227.11101.1.500063.212.6594.22470.5";"Secretaria da Educação"
"2018.3.11.11101.212.6594.500063.5";"2018.3.11.11101.212.6594.500063.5";"2018.2879232.11101.76.500063.212.6594.22470.5";"Secretaria da Educação"
"2018.3.11.11101.212.6594.500063.5";"2018.3.11.11101.212.6594.500063.5";"2018.2879231.11101.76.500063.212.6594.22470.5";"Secretaria da Educação"
"2018.3.11.11101.212.6594.500063.5";"2018.3.11.11101.212.6594.500063.5";"2018.2733122.11101.0.500063.212.6594.22470.5";"Secretaria da Educação"
"2020.3.19.19601.313.2641.500113.5";"2020.3.19.19601.313.2641.500113.5";"2020.3889545.19601.1.500113.313.2641.33026.5";"Secretaria da Saúde"
"2020.3.19.19601.313.2641.500113.5";"2020.3.19.19601.313.2641.500113.5";"2020.3889529.19601.0.500113.313.2641.33026.5";"Secretaria da Saúde"
"2022.3.11.11101.306.7744.500074.5";"2022.3.11.11101.306.7744.500074.5";"2022.4569216.11101.0.500074.306.7744.49670.5";"Secretaria da Educação"
"2022.3.11.11101.306.7744.500074.5";"2022.3.11.11101.306.7744.500074.5";"2022.4576166.11101.38.500074.306.7744.49670.5";"Secretaria da Educação"
"2022.3.11.11101.306.7744.500074.5";"2022.3.11.11101.306.7744.500074.5";"2022.4568938.11101.1.500074.306.7744.49670.5";"Secretaria da Educação"
"2017.3.11.11101.212.7528.500020.5";"2017.3.11.11101.212.7528.500020.5";"2017.2000892.11101.1.500020.212.7528.17152.5";"Secretaria da Educação"
"2017.3.11.11101.212.7528.500020.5";"2017.3.11.11101.212.7528.500020.5";"2017.2001217.11101.0.500020.212.7528.17152.5";"Secretaria da Educação"
"2017.3.11.11101.212.7528.500020.5";"2017.3.11.11101.212.7528.500020.5";"2017.2209489.11101.91.500020.212.7528.17152.5";"Secretaria da Educação"
"2020.3.19.19601.313.3351.500102.5";"2020.3.19.19601.313.3351.500102.5";"2020.3878231.19601.1.500102.313.3351.33015.5";"Secretaria da Saúde"
