"Ano Exercício";"Órgão";"sgl_orgao_orcamento";"Unidade Orçamentária";"nom_res_unidade_orcamentaria";"Ministério de Origem da Emenda";"Número da Emenda Parlamentar";"Ano da Emenda";"Deputado";"Ação do Programa de Governo";"COD_SUBFONTE_RECURSO";"num_codigo";"Valor Orçado Inicial";"Valor Orçado Atual";"Valor Empenhado Total";"Valor Liquidado Total";"Valor Pago"
"2021";"Secretaria de Justiça, Direitos Humanos e Desenvolvimento Social";"SJDHDS";"Fundação da Criança e do Adolescente";"FUNDAC";"ME";"27510007";"2020 ";" Waldenor Perei";"Funcionamento de Unidade de Atendimento";"600002";"2021.3.12.12201.300.4365.600002.6";"0,00";"272803,00";"112589,01";"112589,01";"112589,01"
"2025";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"MDA";"09032025-2-087386";"";"2025";"Distribuição de Equipamento de Apoio";"600157";"2025.3.18.18401.417.1399.600157.6";"0,00";"0,00";"0,00";"0,00";"0,00"
"2026";"Secretaria de Justiça e Direitos Humanos";"SJDH";"Assessoria de Planejamento e Gestão - SJDH";"APG";"MGISP";"41660002";"2023";"Pastor Isidório";"Apoio Técnico e Financeiro a Entidade";"600054";"2026.3.38.38101.400.2170.600054.6";"0,00";"2399184,00";"0,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Assessoria de Planejamento e Gestão - SETRE";"APG";"ME";"41280009";"2021 ";" Raimundo Costa";"Construção de Equipamento";"600014";"2024.3.21.21101.414.7882.600014.6";"0,00";"150000,00";"0,00";"0,00";"0,00"
"2023";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Assessoria de Planejamento e Gestão - SEDUR";"APG";"ME";"91910007";"2021 ";" Zé Neto";"Implantação de Infraestrutura Viária";"600020";"2023.3.26.26101.305.1162.600020.6";"0,00";"1500000,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Assessoria de Planejamento e Gestão - SEDUR";"APG";"MF";"91919910";"2024";" zé Neto";"Implantação de Equipamento Urbano";"600057";"2025.3.26.26101.419.1158.600057.6";"0,00";"300000,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Assessoria de Planejamento e Gestão - SEDUR";"APG";"MF";"91919910";"2024";" zé Neto";"Implantação de Infraestrutura Viária";"600057";"2025.3.26.26101.419.1162.600057.6";"0,00";"5700000,00";"0,00";"0,00";"0,00"
"2023";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"ME";"13390001";"2020 ";" Daniel Almeida";"Distribuição de Equipamento de Apoio";"600001";"2023.3.18.18401.304.1399.600001.6";"0,00";"7678,00";"0,00";"0,00";"0,00"
"2021";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"ME";"91910007";"2021 ";" Zé Neto";"Construção de Equipamento";"600020";"2021.3.21.21301.305.7882.600020.6";"0,00";"300000,00";"0,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Assessoria de Planejamento e Gestão - SETRE";"APG";"MGISP";"13390011";"2023 ";" Daniel Almeida";"Assistência Técnica a Empreendimento";"600039";"2024.3.21.21101.413.6672.600039.6";"0,00";"1003363,00";"1000000,00";"1000000,00";"1000000,00"
