"num_codigo";"num_codigo_exec";"num_codigo_liqu";"nom_orgao_orcamento_exec"
"2022.3.11.11303.306.7867.600031.6";"2022.3.11.11303.306.7867.600031.6";"2022.4662246.11303.0.600031.306.7867.57109.6";"Secretaria da Educação"
"2023.3.26.26101.305.1162.600020.6";"2023.3.26.26101.305.1162.600020.6";"2023.4941430.26101.4.600020.305.1162.55834.6";"Secretaria de Desenvolvimento Urbano"
"2023.3.38.38101.300.6953.600052.6";"2023.3.38.38101.300.6953.600052.6";"2023.5090681.38101.3.600052.300.6953.62133.6";"Secretaria de Justiça e Direitos Humanos"
"2024.3.18.18401.417.1399.600046.6";"2024.3.18.18401.417.1399.600046.6";"2024.5215623.18401.0.600046.417.1399.62306.6";"Secretaria de Desenvolvimento Rural"
"2024.3.21.21101.413.5917.600000.6";"2024.3.21.21101.413.5917.600000.6";"2024.5210791.21101.7.600000.413.5917.61620.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2024.3.22.22101.406.7980.600043.6";"2024.3.22.22101.406.7980.600043.6";"2024.5658462.22101.0.600043.406.7980.62303.6";"Secretaria de Cultura"
"2024.3.26.26101.419.1158.600020.6";"2024.3.26.26101.419.1158.600020.6";"2024.5225944.26101.0.600020.419.1158.61640.6";"Secretaria de Desenvolvimento Urbano"
"2024.3.32.32101.411.3701.600036.6";"2024.3.32.32101.411.3701.600036.6";"2024.5659390.32101.0.600036.411.3701.61619.6";"Secretaria de Turismo"
"2024.3.34.34101.430.3229.600046.6";"2024.3.34.34101.430.3229.600046.6";"2024.5224911.34101.1.600046.430.3229.62306.6";"Secretaria de Políticas para as Mulheres"
"2024.3.38.38101.400.2170.600046.6";"2024.3.38.38101.400.2170.600046.6";"2024.5207990.38101.0.600046.400.2170.62306.6";"Secretaria de Justiça e Direitos Humanos"
"2025.3.18.18401.417.1399.600092.6";"2025.3.18.18401.417.1399.600092.6";"2025.6179054.18401.0.600092.417.1399.97531.6";"Secretaria de Desenvolvimento Rural"
"2025.3.26.26401.419.1158.600052.6";"2025.3.26.26401.419.1158.600052.6";"2025.5681211.26401.1.600052.419.1158.90197.6";"Secretaria de Desenvolvimento Urbano"
"2025.3.38.38101.400.2170.600066.6";"2025.3.38.38101.400.2170.600066.6";"2025.5678971.38101.0.600066.400.2170.91438.6";"Secretaria de Justiça e Direitos Humanos"
"2026.3.10.10501.446.3194.600006.6";"2026.3.10.10501.446.3194.600006.6";"2026.6190758.10501.1.600006.446.3194.97031.6";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura"
"2026.3.11.11303.424.7867.600027.6";"2026.3.11.11303.424.7867.600027.6";"2026.6192239.11303.0.600027.424.7867.95149.6";"Secretaria da Educação"
"2026.3.26.26101.419.1162.600042.6";"2026.3.26.26101.419.1162.600042.6";"2026.6189621.26101.0.600042.419.1162.97016.6";"Secretaria de Desenvolvimento Urbano"
"2026.3.39.39101.403.5445.600038.6";"2026.3.39.39101.403.5445.600038.6";"2026.6192416.39101.2.600038.403.5445.95156.6";"Secretaria de Assistência e Desenvolvimento Social"
"2021.3.21.21301.314.5641.600003.6";"2021.3.21.21301.314.5641.600003.6";"2021.4563536.21301.1.600003.314.5641.51508.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2022.3.12.12101.300.2170.600025.6";"2022.3.12.12101.300.2170.600025.6";"2022.4588531.12101.0.600025.300.2170.57103.6";"Secretaria de Justiça, Direitos Humanos e Desenvolvimento Social"
"2023.3.11.11101.306.5266.600031.6";"2023.3.11.11101.306.5266.600031.6";"2023.4939570.11101.0.600031.306.5266.57248.6";"Secretaria da Educação"
"2023.3.18.18401.304.1398.600034.6";"2023.3.18.18401.304.1398.600034.6";"2023.4933823.18401.0.600034.304.1398.57253.6";"Secretaria de Desenvolvimento Rural"
"2023.3.22.22101.302.7980.600005.6";"2023.3.22.22101.302.7980.600005.6";"2023.4938011.22101.0.600005.302.7980.55819.6";"Secretaria de Cultura"
"2023.3.32.32802.303.5893.600044.6";"2023.3.32.32802.303.5893.600044.6";"2023.5199372.32802.1.600044.303.5893.62129.6";"Secretaria de Turismo"
"2024.3.10.10501.417.5916.600031.6";"2024.3.10.10501.417.5916.600031.6";"2024.5224794.10501.0.600031.417.5916.61618.6";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura"
"2024.3.32.32101.411.3701.600063.6";"2024.3.32.32101.411.3701.600063.6";"2024.5227884.32101.3.600063.411.3701.91323.6";"Secretaria de Turismo"
"2024.3.80.80102.900.8070.600004.6";"2024.3.80.80102.900.8070.600004.6";"2024.5208841.80102.0.600004.900.8070.61624.6";"Encargos Gerais do Estado"
