"seq_inst_captacao_recurso";"valor_instrument_captacao";"dtc_assinatura"
"15767";"6085792,00";"08/05/2024 00:00:00"
"19179";"1188000,00";"11/09/2025 00:00:00"
"19755";"297000,00";"17/11/2025 00:00:00"
"19181";"792000,00";"28/08/2025 00:00:00"
"19332";"383130,00";"10/09/2025 00:00:00"
"19156";"5336100,00";"03/09/2025 00:00:00"
"19521";"990000,00";"03/10/2025 00:00:00"
"14267";"6351694,00";"31/05/2023 00:00:00"
"19752";"396000,00";"17/11/2025 00:00:00"
"10728";"3500000,00";"02/01/2020 00:00:00"
"19097";"495000,00";"25/08/2025 00:00:00"
"13145";"4219682,00";"26/04/2022 00:00:00"
"19163";"198000,00";"11/09/2025 00:00:00"
"14171";"9851697,00";"31/05/2023 00:00:00"
"12251";"1500000,00";"20/08/2021 00:00:00"
"19177";"1980000,00";"11/09/2025 00:00:00"
"10729";"1400000,00";"02/01/2020 00:00:00"
"19159";"594975,15";"11/09/2025 00:00:00"
"13157";"1500000,00";"26/04/2022 00:00:00"
"15788";"300000,00";"08/05/2024 00:00:00"
"19436";"2475000,00";"29/09/2025 00:00:00"
"12140";"400000,00";"01/07/2021 00:00:00"
"19154";"1188000,00";"11/09/2025 00:00:00"
"13153";"700000,00";"26/04/2022 00:00:00"
"19091";"1435500,00";"25/08/2025 00:00:00"
"20051";"990000,00";"09/12/2025 00:00:00"
"19425";"3267000,00";"29/09/2025 00:00:00"
"19334";"247893,03";"10/09/2025 00:00:00"
"19395";"247500,00";"25/09/2025 00:00:00"
"12492";"370000,00";"03/12/2021 00:00:00"
"19487";"990000,00";"01/10/2025 00:00:00"
"19157";"495000,00";"26/08/2025 00:00:00"
"15772";"3800000,00";"08/05/2024 00:00:00"
"19291";"594000,00";"04/09/2025 00:00:00"
"19338";"396000,00";"12/09/2025 00:00:00"
"12132";"300000,00";"01/07/2021 00:00:00"
"19762";"219780,00";"17/11/2025 00:00:00"
"15815";"1000000,00";"01/06/2024 00:00:00"
"19768";"1108800,00";"17/11/2025 00:00:00"
"12123";"50000,00";"01/07/2021 00:00:00"
