"Ano Exercício";"Órgão";"sgl_orgao_orcamento";"Unidade Orçamentária";"nom_res_unidade_orcamentaria";"Ação do Programa de Governo";"cod_subfonte_recurso";"Deputado";"Nome do Deputado";"num_codigo";"Valor Orçado Inicial.";"Valor Orçado Atual.";"Valor Empenhado.";"Valor Liquidado.";"Valor Pago."
"2018";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500042";"  Marquinho Viana";"  Marquinho Viana";"2018.3.11.11101.212.2984.500042.5";"201700,00";"0,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Turismo";"SETUR";"Assessoria de Planejamento e Gestão - SETUR";"APG";"Apoio à Realização de Evento";"500100";"  Júnior Muniz";"  Júnior Muniz";"2025.3.32.32101.411.3701.500100.5";"0,00";"1273035,00";"1223000,00";"1223000,00";"1223000,00"
"2019";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Realização do Projeto de Fortalecimento";"500063";"  Zé Raimundo";"  Zé Raimundo";"2019.3.11.11101.212.6598.500063.5";"50000,00";"50000,00";"49560,72";"49560,72";"49560,72"
"2020";"Secretaria da Segurança Pública";"SSP";"Assessoria de Planejamento e Gestão - SSP";"APG";"Aquisição de Armamento para o Sistema";"500094";"  Capitão Alden";"  Capitão Alden";"2020.3.20.20101.314.7874.500094.5";"132200,00";"0,00";"0,00";"0,00";"0,00"
"2017";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500069";"  Antonio Henrique Junior";"  Antonio Henrique Junior";"2017.3.19.19601.200.1099.500069.5";"740610,00";"740610,00";"740610,00";"533980,00";"533980,00"
"2019";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Funcionamento de Unidade Escolar";"500062";"  Zé Neto";"  Zé Neto";"2019.3.11.11601.212.6525.500062.5";"0,00";"192760,00";"168449,34";"168449,34";"0,00"
"2018";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500078";"  Jânio Natal";"  Jânio Natal";"2018.3.18.18401.206.1399.500078.5";"306060,00";"306060,00";"273436,30";"273436,30";"273436,30"
"2018";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500009";"  Bira Corôa";"  Bira Corôa";"2018.3.11.11101.212.7744.500009.5";"26416,00";"0,00";"0,00";"0,00";"0,00"
"2026";"Secretaria de Turismo";"SETUR";"Assessoria de Planejamento e Gestão - SETUR";"APG";"Apoio à Realização de Evento";"500142";"  Vitor Azevedo";"  Vitor Azevedo";"2026.3.32.32101.411.3701.500142.5";"0,00";"2320000,00";"270000,00";"50000,00";"50000,00"
"2023";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500085";"  Robinho";"  Robinho";"2023.3.19.19601.313.5607.500085.5";"5000,00";"5000,00";"5000,00";"4774,40";"4774,40"
"2018";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500074";"  Fabíola Mansur";"  Fabíola Mansur";"2018.3.18.18401.206.1399.500074.5";"47826,00";"47826,00";"46644,40";"46644,40";"46644,40"
"2026";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Apoio a Município na Implantação";"500018";"  Euclides Fernandes";"  Euclides Fernandes";"2026.3.19.19601.435.7510.500018.5";"600000,00";"600000,00";"0,00";"0,00";"0,00"
"2018";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500038";"  Maria Del Carmen";"  Maria Del Carmen";"2018.3.19.19601.200.5607.500038.5";"122040,00";"122040,00";"89853,06";"58453,06";"58453,06"
"2019";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500019";"  Fabrício Falcão";"  Fabrício Falcão";"2019.3.19.19601.200.1099.500019.5";"765000,00";"765000,00";"708000,00";"531000,00";"531000,00"
"2025";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Apoio à Comercialização Produção Rural";"500054";"  Rosemberg Pinto";"  Rosemberg Pinto";"2025.3.18.18401.417.7838.500054.5";"0,00";"110800,00";"110800,00";"110800,00";"110800,00"
"2025";"Secretaria de Turismo";"SETUR";"Superintendência de Fomento ao Turismo do Estado da Bahia";"SUFOTUR";"Apoio a Evento de Interesse Turístico";"500100";"  Júnior Muniz";"  Júnior Muniz";"2025.3.32.32802.411.5893.500100.5";"3023035,00";"1896982,00";"1894588,00";"1890588,00";"1890000,00"
"2026";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Assessoria de Planejamento e Gestão - SETRE";"APG";"Apoio a Geração de Trabalho e Renda";"500019";"  Fabrício Falcão";"  Fabrício Falcão";"2026.3.21.21101.413.5917.500019.5";"0,00";"300000,00";"0,00";"0,00";"0,00"
"2018";"Secretaria de Infraestrutura Hídrica e Saneamento";"SIHS";"Companhia de Engenharia Hídrica e de Saneamento da Bahia";"CERB";"Perfuração de Poço";"500012";"  Carlos Geilson";"  Carlos Geilson";"2018.3.8.8501.213.7894.500012.5";"46710,00";"46710,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Gestão Direta";"500091";"  Mirela Macedo";"  Mirela Macedo";"2020.3.19.19601.313.2641.500091.5";"0,00";"0,00";"0,00";"0,00";"0,00"
"2023";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500055";"  Sandro Régis";"  Sandro Régis";"2023.3.19.19601.313.1099.500055.5";"988000,00";"988000,00";"988000,00";"807000,00";"538000,00"
"2024";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500092";"  Samuel Júnior";"  Samuel Júnior";"2024.3.19.19601.435.1099.500092.5";"3080000,00";"3080000,00";"3080000,00";"2764934,00";"2764934,00"
"2019";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500043";"  Nelson Leal";"  Nelson Leal";"2019.3.11.11101.212.2984.500043.5";"279174,00";"279174,00";"0,00";"0,00";"0,00"
"2021";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Realização do Projeto na Educação Básica";"500063";"  Zé Raimundo";"  Zé Raimundo";"2021.3.11.11101.306.6594.500063.5";"145000,00";"75000,00";"74180,00";"74180,00";"71180,00"
"2022";"Secretaria da Educação";"SEC";"Universidade do Estado da Bahia";"UNEB";"Construção de Espaço Físico";"500074";"  Fabíola Mansur";"  Fabíola Mansur";"2022.3.11.11301.306.7863.500074.5";"30000,00";"30000,00";"0,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"Promoção de Atividade de Esporte";"500108";"  Olivia Santana";"  Olivia Santana";"2024.3.21.21301.414.5779.500108.5";"210000,00";"210000,00";"210000,00";"210000,00";"210000,00"
"2020";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500030";"  Jurandy Oliveira";"  Jurandy Oliveira";"2020.3.19.19601.313.5607.500030.5";"87880,00";"87880,00";"64986,06";"16745,70";"16745,70"
"2026";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Apoio a Evento da Agricultura Familiar";"500063";"  Zé Raimundo Fontes";"  Zé Raimundo Fontes";"2026.3.18.18401.417.7988.500063.5";"140000,00";"170000,00";"0,00";"0,00";"0,00"
"2024";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500141";"  Soane Galvão";"  Soane Galvão";"2024.3.11.11101.425.7744.500141.5";"185500,00";"0,00";"0,00";"0,00";"0,00"
"2025";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Veículo para Transporte Escolar";"500080";"  Luciano Simões Filho";"  Luciano Simões Filho";"2025.3.11.11101.422.3390.500080.5";"0,00";"843944,00";"820471,65";"820471,65";"820471,65"
"2025";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500020";"  Fátima Nunes";"  Fátima Nunes";"2025.3.18.18401.417.1399.500020.5";"1750400,00";"1434000,00";"1434000,00";"1434000,00";"1434000,00"
"2020";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500074";"  Fabíola Mansur";"  Fabíola Mansur";"2020.3.18.18401.304.1399.500074.5";"0,00";"168000,00";"167502,00";"167502,00";"167502,00"
"2021";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Implantação de Infraestrutura Viária";"500096";"  Diego Coronel";"  Diego Coronel";"2021.3.18.18401.305.7439.500096.5";"0,00";"100000,00";"0,00";"0,00";"0,00"
"2018";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500088";"  Zó";"  Zó";"2018.3.18.18401.206.1399.500088.5";"280940,00";"280940,00";"183534,32";"183534,32";"183534,32"
"2021";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Aparelhamento de Unidade Escolar";"500028";"  José De Arimatéia";"  José De Arimatéia";"2021.3.11.11601.306.7744.500028.5";"358400,00";"220000,00";"52800,00";"52800,00";"52800,00"
"2019";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Funcionamento de Unidade Escolar";"500030";"  Jurandy Oliveira";"  Jurandy Oliveira";"2019.3.11.11601.212.6525.500030.5";"0,00";"52800,00";"52800,00";"52800,00";"0,00"
"2023";"Secretaria de Promoção da Igualdade Racial e dos Povos e Comunidades Tradicionais";"SEPROMI";"Assessoria de Planejamento e Gestão - SEPROMI";"APG";"Apoio à Realização de Evento";"500052";"  Rogério Andrade Filho";"  Rogério Andrade Filho";"2023.3.30.30101.307.3182.500052.5";"0,00";"51200,00";"51200,00";"51200,00";"51200,00"
"2020";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500109";"  Osni Cardoso";"  Osni Cardoso";"2020.3.18.18401.304.1399.500109.5";"182900,00";"0,00";"0,00";"0,00";"0,00"
"2026";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500063";"  Zé Raimundo Fontes";"  Zé Raimundo Fontes";"2026.3.18.18401.417.1399.500063.5";"999000,00";"999000,00";"0,00";"0,00";"0,00"
"2023";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500038";"  Maria Del Carmen";"  Maria Del Carmen";"2023.3.11.11101.306.7744.500038.5";"203120,00";"334200,00";"333884,74";"333884,74";"333884,74"
"2017";"Secretaria de Infraestrutura Hídrica e Saneamento";"SIHS";"Companhia de Engenharia Hídrica e de Saneamento da Bahia";"CERB";"Implantação de Sistema de Abastecimento";"500051";"  Roberto Carlos";"  Roberto Carlos";"2017.3.8.8501.213.1277.500051.5";"150000,00";"150000,00";"0,00";"0,00";"0,00"
"2024";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500002";"  Adolfo Menezes";"  Adolfo Menezes";"2024.3.19.19601.435.1099.500002.5";"1800000,00";"1800000,00";"1800000,00";"1327601,00";"1327601,00"
"2022";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500107";"  Niltinho";"  Niltinho";"2022.3.11.11101.306.2984.500107.5";"517000,00";"0,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500121";"  Cafu Barreto";"  Cafu Barreto";"2025.3.18.18401.417.1399.500121.5";"0,00";"0,00";"0,00";"0,00";"0,00"
"2020";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Companhia de Desenvolvimento Urbano do Estado da Bahia";"CONDER";"Requalificação de Equipamento Urbano";"500038";"  Maria Del Carmen";"  Maria Del Carmen";"2020.3.26.26401.305.5183.500038.5";"46472,00";"46472,00";"0,00";"0,00";"0,00"
"2026";"Secretaria da Segurança Pública";"SSP";"Corpo de Bombeiros Militar da Bahia";"CBMBA";"Aquisição de Equipamento para o Serviço";"500132";"  Ludmilla Fiscina";"  Ludmilla Fiscina";"2026.3.20.20803.435.3381.500132.5";"332490,00";"332490,00";"0,00";"0,00";"0,00"
"2018";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"Apoio ao Esporte e Lazer Comunitário";"500024";"  Ivana Bastos";"  Ivana Bastos";"2018.3.21.21301.217.5793.500024.5";"51058,00";"51058,00";"0,00";"0,00";"0,00"
"2019";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500067";"  Alex Da Piatã";"  Alex Da Piatã";"2019.3.19.19601.200.1099.500067.5";"831500,00";"831500,00";"540909,60";"0,00";"0,00"
"2019";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Funcionamento de Unidade Escolar";"500008";"  Augusto Castro";"  Augusto Castro";"2019.3.11.11601.212.6525.500008.5";"0,00";"52600,00";"13500,00";"13500,00";"0,00"
"2021";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500087";"  Vítor Bonfim";"  Vítor Bonfim";"2021.3.19.19601.313.1099.500087.5";"1050000,00";"1050000,00";"1050000,00";"205000,00";"205000,00"
"2025";"Secretaria do Meio Ambiente";"SEMA";"Assessoria de Planejamento e Gestão - SEMA";"APG";"Realização de Ação de Sustentabilidade";"500072";"  Eduardo Salles";"  Eduardo Salles";"2025.3.27.27101.434.5473.500072.5";"100000,00";"100000,00";"0,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"Promoção de Atividade de Esporte";"500126";"  Felipe Duarte";"  Felipe Duarte";"2024.3.21.21301.414.5793.500126.5";"0,00";"241100,00";"241100,00";"241100,00";"241100,00"
"2026";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500069";"  Antonio Henrique Junior";"  Antonio Henrique Junior";"2026.3.19.19601.436.5607.500069.5";"80000,00";"80000,00";"80000,00";"0,00";"0,00"
"2026";"Secretaria de Ciência, Tecnologia e Inovação";"SECTI";"Assessoria de Planejamento e Gestão - SECTI";"APG";"Implantação de Espaço de Ciência";"500101";"  Jurailton Santos";"  Jurailton Santos";"2026.3.28.28101.405.5649.500101.5";"70000,00";"35000,00";"0,00";"0,00";"0,00"
"2025";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"Promoção de Atividade de Esporte";"500098";"  Hilton Coelho";"  Hilton Coelho";"2025.3.21.21301.414.5779.500098.5";"0,00";"30000,00";"30000,00";"30000,00";"30000,00"
"2020";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Apoio à Comercialização Produção Rural";"500074";"  Fabíola Mansur";"  Fabíola Mansur";"2020.3.18.18401.304.7838.500074.5";"0,00";"28000,00";"0,00";"0,00";"0,00"
"2018";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500019";"  Fabrício Falcão";"  Fabrício Falcão";"2018.3.18.18401.206.1399.500019.5";"375360,00";"375360,00";"257833,28";"257833,28";"257833,28"
"2023";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Aparelhamento de Unidade Escolar";"500038";"  Maria Del Carmen";"  Maria Del Carmen";"2023.3.11.11601.306.7744.500038.5";"0,00";"260920,00";"257090,49";"257090,49";"257090,49"
"2025";"Secretaria da Educação";"SEC";"Universidade Estadual de Feira de Santana";"UEFS";"Apoio ao Funcionamento da Atividade";"500098";"  Hilton Coelho";"  Hilton Coelho";"2025.3.11.11303.424.4515.500098.5";"110000,00";"35000,00";"17225,04";"13198,66";"13198,66"
"2020";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500019";"  Fabrício Falcão";"  Fabrício Falcão";"2020.3.19.19601.313.5607.500019.5";"33900,00";"288900,00";"285476,64";"18308,84";"18308,84"
"2025";"Secretaria da Segurança Pública";"SSP";"Polícia Militar da Bahia";"PM/BA";"Ampliação e Renovação da Frota";"500126";"  Felipe Duarte";"  Felipe Duarte";"2025.3.20.20801.437.7873.500126.5";"456600,00";"456600,00";"256250,00";"0,00";"0,00"
"2025";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500128";"  Jordávio Ramos";"  Jordávio Ramos";"2025.3.19.19601.436.5607.500128.5";"640000,00";"640000,00";"640000,00";"410201,10";"410201,10"
"2024";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500104";"  Laerte Do Vando";"  Laerte Do Vando";"2024.3.18.18401.417.1399.500104.5";"979620,00";"979620,00";"968868,77";"968868,77";"968868,77"
"2022";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500066";"  Alan Castro";"  Alan Castro";"2022.3.11.11101.306.2984.500066.5";"475600,00";"317900,00";"0,00";"0,00";"0,00"
"2024";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Apoio Financeiro a Município";"500140";"  Ricardo Rodrigues";"  Ricardo Rodrigues";"2024.3.11.11101.425.3332.500140.5";"0,00";"400500,00";"400500,00";"400500,00";"400500,00"
"2021";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500107";"  Niltinho";"  Niltinho";"2021.3.19.19601.313.5607.500107.5";"45248,00";"45248,00";"42004,11";"32252,64";"32252,64"
"2026";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Apoio Financeiro a Município";"500131";"  Luciano Araújo";"  Luciano Araújo";"2026.3.11.11101.425.3332.500131.5";"378400,00";"378400,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade de Educação";"500063";"  Zé Raimundo";"  Zé Raimundo";"2020.3.11.11101.306.5134.500063.5";"31256,00";"31256,00";"560,00";"560,00";"560,00"
"2024";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Apoio Financeiro a Município";"500055";"  Sandro Régis";"  Sandro Régis";"2024.3.11.11101.425.3332.500055.5";"0,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria de Justiça e Direitos Humanos";"SJDH";"Assessoria de Planejamento e Gestão - SJDH";"APG";"Prestação de Serviço de Inclusão a PcD";"500098";"  Hilton Coelho";"  Hilton Coelho";"2024.3.38.38101.400.4094.500098.5";"0,00";"50000,00";"50000,00";"50000,00";"50000,00"
"2018";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Distribuição de Equipamento de Apoio";"500092";"  Samuel Júnior";"  Samuel Júnior";"2018.3.18.18401.206.1399.500092.5";"0,00";"170954,00";"59186,98";"59186,98";"59186,98"
"2026";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"Requalificação de Equipamento Esportivo";"500070";"  Bobô";"  Bobô";"2026.3.21.21301.414.1009.500070.5";"300000,00";"300000,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500047";"  Paulo Rangel";"  Paulo Rangel";"2020.3.19.19601.313.1099.500047.5";"880000,00";"880000,00";"799999,95";"0,00";"0,00"
"2025";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Apoio Financeiro para a Melhoria";"500038";"  Maria Del Carmen";"  Maria Del Carmen";"2025.3.11.11101.422.3334.500038.5";"0,00";"96689,00";"0,00";"0,00";"0,00"
"2022";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Apoio à Educação Básica no Campo";"500103";"  Katia Oliveira";"  Katia Oliveira";"2022.3.11.11101.306.6998.500103.5";"99800,00";"0,00";"0,00";"0,00";"0,00"
"2021";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500047";"  Paulo Rangel";"  Paulo Rangel";"2021.3.19.19601.313.5607.500047.5";"0,00";"11600,00";"11529,00";"0,00";"0,00"
"2017";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500073";"  Fábio Souto";"  Fábio Souto";"2017.3.19.19601.200.5607.500073.5";"733737,00";"733737,00";"0,00";"0,00";"0,00"
"2023";"Secretaria de Justiça, Direitos Humanos e Desenvolvimento Social";"SJDHDS";"Assessoria de Planejamento e Gestão - SJDHDS";"APG";"Apoio Técnico e Financeiro a Entidade";"500098";"  Hilton Coelho";"  Hilton Coelho";"2023.3.12.12101.300.2170.500098.5";"90000,00";"0,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Gestão Direta";"500024";"  Ivana Bastos";"  Ivana Bastos";"2020.3.19.19601.313.2641.500024.5";"0,00";"0,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade de Educação";"500109";"  Osni Cardoso";"  Osni Cardoso";"2020.3.11.11101.306.5134.500109.5";"63460,00";"63460,00";"1835,00";"1835,00";"1835,00"
"2024";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500126";"  Felipe Duarte";"  Felipe Duarte";"2024.3.11.11101.425.7744.500126.5";"257800,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria de Políticas para as Mulheres";"SPM";"Assessoria de Planejamento e Gestão - SPM";"APG";"Apoio a Projeto";"500074";"  Fabíola Mansur";"  Fabíola Mansur";"2024.3.34.34101.430.5558.500074.5";"10000,00";"10000,00";"0,00";"0,00";"0,00"
"2025";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Assessoria de Planejamento e Gestão - SETRE";"APG";"Capacitação Social e Profissional";"500141";"  Soane Galvão";"  Soane Galvão";"2025.3.21.21101.412.1793.500141.5";"1000000,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria de Turismo";"SETUR";"Superintendência de Fomento ao Turismo do Estado da Bahia";"SUFOTUR";"Apoio a Evento de Interesse Turístico";"500138";"  Patrick Lopes";"  Patrick Lopes";"2024.3.32.32802.411.5893.500138.5";"0,00";"215000,00";"215000,00";"215000,00";"215000,00"
"2019";"Secretaria de Desenvolvimento Urbano";"SEDUR";"Companhia de Desenvolvimento Urbano do Estado da Bahia";"CONDER";"Implantação de Equipamento Urbano";"500001";"  Aderbal Caldas";"  Aderbal Caldas";"2019.3.26.26401.217.1158.500001.5";"310000,00";"310000,00";"0,00";"0,00";"0,00"
"2026";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura";"SEAGRI";"Assessoria de Planejamento e Gestão - SEAGRI";"APG";"Distribuição de Equipamento";"500080";"  Luciano Simões Filho";"  Luciano Simões Filho";"2026.3.10.10101.417.7385.500080.5";"504000,00";"504000,00";"0,00";"0,00";"0,00"
"2021";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500069";"  Antônio Henrique Júnior";"  Antônio Henrique Júnior";"2021.3.11.11101.306.7744.500069.5";"0,00";"115220,00";"0,00";"0,00";"0,00"
"2023";"Secretaria de Administração Penitenciária e Ressocialização";"SEAP";"Assessoria de Planejamento e Gestão - SEAP";"APG";"Modernização de Órgão Público";"500094";"  Capitão Alden";"  Capitão Alden";"2023.3.35.35101.315.7950.500094.5";"15000,00";"15000,00";"0,00";"0,00";"0,00"
"2022";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500098";"  Hilton Coelho";"  Hilton Coelho";"2022.3.19.19601.313.5607.500098.5";"35000,00";"320000,00";"224241,18";"68456,83";"68456,83"
"2025";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500101";"  Jurailton Santos";"  Jurailton Santos";"2025.3.19.19601.436.5607.500101.5";"1112000,00";"1077000,00";"1077000,00";"727172,58";"727172,58"
"2024";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500047";"  Paulo Rangel";"  Paulo Rangel";"2024.3.19.19601.436.5607.500047.5";"552900,00";"554820,00";"554820,00";"492009,13";"492009,13"
"2022";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500118";"  Josafá Marinho";"  Josafá Marinho";"2022.3.19.19601.313.1099.500118.5";"420000,00";"420000,00";"420000,00";"420000,00";"420000,00"
"2020";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Odontomóvel";"500098";"  Hilton Coelho";"  Hilton Coelho";"2020.3.19.19601.313.5032.500098.5";"270000,00";"270000,00";"0,00";"0,00";"0,00"
"2018";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Ampliação de Unidade Escolar da Educação";"500043";"  Nelson Leal";"  Nelson Leal";"2018.3.11.11101.212.7531.500043.5";"125654,00";"125654,00";"0,00";"0,00";"0,00"
"2017";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500007";"  Ângelo Coronel";"  Ângelo Coronel";"2017.3.19.19601.200.1099.500007.5";"0,00";"753754,00";"747572,00";"0,00";"0,00"
"2021";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500028";"  José De Arimatéia";"  José De Arimatéia";"2021.3.19.19601.313.1099.500028.5";"334000,00";"334000,00";"334000,00";"205000,00";"205000,00"
