"Ano Exercício";"Órgão";"sgl_orgao_orcamento";"Unidade Orçamentária";"nom_res_unidade_orcamentaria";"Ação do Programa de Governo";"cod_subfonte_recurso";"Deputado";"Nome do Deputado";"num_codigo";"Valor Orçado Inicial.";"Valor Orçado Atual.";"Valor Empenhado.";"Valor Liquidado.";"Valor Pago."
"2026";"Secretaria de Turismo";"SETUR";"Superintendência de Fomento ao Turismo do Estado da Bahia";"SUFOTUR";"Apoio a Evento de Interesse Turístico";"500042";"  Marquinho Viana";"  Marquinho Viana";"2026.3.32.32802.411.5893.500042.5";"2600000,00";"0,00";"0,00";"0,00";"0,00"
"2022";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500112";"  Robinson Almeida";"  Robinson Almeida";"2022.3.11.11101.306.7744.500112.5";"390000,00";"0,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Distribuição de Uniforme para Estudante";"500100";"  Junior Muniz";"  Junior Muniz";"2020.3.11.11101.306.6530.500100.5";"30788,00";"30788,00";"0,00";"0,00";"0,00"
"2025";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500097";"  Eduardo Alencar";"  Eduardo Alencar";"2025.3.19.19601.436.5607.500097.5";"226000,00";"226000,00";"225988,55";"211019,68";"211019,68"
"2025";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Assessoria de Planejamento e Gestão - SETRE";"APG";"Promoção de Atividade de Esporte";"500019";"  Fabrício Falcão";"  Fabrício Falcão";"2025.3.21.21101.414.5793.500019.5";"250000,00";"0,00";"0,00";"0,00";"0,00"
"2017";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500055";"  Sandro Régis";"  Sandro Régis";"2017.3.19.19601.200.5607.500055.5";"755070,00";"755070,00";"0,00";"0,00";"0,00"
"2021";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500052";"  Rogério Andrade Filho";"  Rogério Andrade Filho";"2021.3.19.19601.313.1099.500052.5";"750000,00";"750000,00";"750000,00";"205000,00";"205000,00"
"2021";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Apoio à Comercialização Produção Rural";"500038";"  Maria Del Carmen";"  Maria Del Carmen";"2021.3.18.18401.304.7838.500038.5";"40000,00";"40000,00";"0,00";"0,00";"0,00"
"2020";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"Promoção de Atividade de Esporte";"500107";"  Niltinho";"  Niltinho";"2020.3.21.21301.308.5793.500107.5";"17988,00";"0,00";"0,00";"0,00";"0,00"
"2019";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500062";"  Zé Neto";"  Zé Neto";"2019.3.19.19601.200.5607.500062.5";"252580,00";"252580,00";"229450,34";"83171,32";"79534,47"
"2023";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500087";"  Vítor Bonfim";"  Vítor Bonfim";"2023.3.11.11101.306.7744.500087.5";"5120,00";"0,00";"0,00";"0,00";"0,00"
"2023";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500066";"  Alan Castro";"  Alan Castro";"2023.3.11.11101.306.7744.500066.5";"0,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria da Educação";"SEC";"Universidade Estadual do Sudoeste da Bahia";"UESB";"Construção de Espaço Físico";"500098";"  Hilton Coelho";"  Hilton Coelho";"2024.3.11.11302.424.7863.500098.5";"225000,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade de Educação";"500002";"  Adolfo Menezes";"  Adolfo Menezes";"2024.3.11.11101.423.5134.500002.5";"0,00";"32300,00";"31865,16";"31865,16";"31865,16"
"2025";"Secretaria da Educação";"SEC";"Universidade Estadual de Feira de Santana";"UEFS";"Apoio às Ações de Cultura e Arte";"500098";"  Hilton Coelho";"  Hilton Coelho";"2025.3.11.11303.424.4895.500098.5";"0,00";"31000,00";"31000,00";"31000,00";"31000,00"
"2018";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Apoio à Comercialização Produção Rural";"500044";"  Neusa Cadore";"  Neusa Cadore";"2018.3.18.18401.206.7838.500044.5";"0,00";"33866,00";"0,00";"0,00";"0,00"
"2025";"Secretaria de Desenvolvimento Rural";"SDR";"Companhia de Desenvolvimento e Ação Regional";"CAR";"Implantação de Infraestrutura Hídrica";"500074";"  Fabíola Mansur";"  Fabíola Mansur";"2025.3.18.18401.420.5040.500074.5";"0,00";"78000,00";"78000,00";"78000,00";"78000,00"
"2022";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Aparelhamento de Unidade Escolar";"500024";"  Ivana Bastos";"  Ivana Bastos";"2022.3.11.11601.306.7744.500024.5";"0,00";"68400,00";"67735,80";"67735,80";"67735,80"
"2023";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Ampliação da Frota de Ambulância";"500036";"  Marcelino Galo";"  Marcelino Galo";"2023.3.19.19601.313.1099.500036.5";"741000,00";"741000,00";"741000,00";"538000,00";"538000,00"
"2022";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Aparelhamento de Unidade Escolar";"500086";"  Soldado Prisco";"  Soldado Prisco";"2022.3.11.11601.306.7744.500086.5";"0,00";"15520,00";"14990,00";"14990,00";"14990,00"
"2024";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Gestão Direta";"500112";"  Robinson Almeida";"  Robinson Almeida";"2024.3.19.19601.435.2641.500112.5";"500000,00";"500000,00";"497985,11";"497985,11";"497985,11"
"2018";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500091";"  Mirela Macedo";"  Mirela Macedo";"2018.3.19.19601.200.5607.500091.5";"685362,00";"685362,00";"449357,66";"314693,73";"314693,73"
"2026";"Secretaria de Turismo";"SETUR";"Assessoria de Planejamento e Gestão - SETUR";"APG";"Apoio à Realização de Evento";"500052";"  Rogério Andrade";"  Rogério Andrade";"2026.3.32.32101.411.3701.500052.5";"1891202,00";"1891202,00";"610000,00";"300000,00";"300000,00"
"2023";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500051";"  Roberto Carlos";"  Roberto Carlos";"2023.3.11.11101.306.7744.500051.5";"900,00";"0,00";"0,00";"0,00";"0,00"
