"num_empenho_orcamento";"num_processo_sist_elet_info"
"3280200012500037027";"03222982025000835627"
"1960100032400041933";"01949752024007055386"
"1960100032400076982";"01949752024007755361"
"2110100072200003704";"02121362022000291263"
"1110100382100028124";"01156142021003830297"
"1110100382100028299";"01156142021003144695"
"2080101042300004020";"030175312023022559420"
"1960100032300079845";"01949752023016236575"
"3410100012400010205";"042172942024000112734"
"1960100032100110113";"01949752021013197925"
"1960100032100112566";"01949752021013576861"
"1110100942300010012";"01155712023006780684"
"1130300012400027657";"07174782024002417498"
"1960100031900046048";"01949752019001175112"
"3410100022500003472";"04228292025000051969"
"1960100032500053340";"01949752025008221701"
"1960100032400013522";"01949752024002647790"
"1960100032400057813";"01949752024003577183"
"2220100011900016910";"05445862019000249052"
"1110100462300041298";"01155792023006345978"
"2080101032400002507";"030161182024019625509"
"2080100232400002393";"030150102024021283786"
"1960100032500077861";"01949752025017543481"
"1960100032500012458";"01949752025002447538"
"1960100032500051781";"01949752025009648458"
"1960100032500017212";"01949752025003654456"
"1130300012500040372";"07174782025002777533"
"2130100012100014574";"06914652021000083469"
"2130100012100013977";"06914652021000083469"
"1960100032300063507";"01949752023010624182"
"1050100012200016820";"03249452022000640797"
"2080100962400012018";"03026692024019727104"
"2080100962400011917";"03026692024019727104"
"2080100952400026828";"03026852024024597675"
"2080100952400014579";"03026852024016724591"
"1960100032100103532";"01949752021011362139"
"1960100032100114135";"01949752021014236541"
"1960100032100052301";"01949752021002619106"
"1960100032100130769";"01949752021014216010"
"1960100032400038193";"01949752024002609944"
"1110100382200009914";"01156142022006864576"
"3280200012400003705";"03222982024000070409"
"3280200012400047524";"03222982024000555755"
"1960100032300076234";"01949752023016208610"
"1960100032300081009";"01949752023016576597"
"3210100032500000903";"03213132025000040873"
"3210100032500020106";"03213132025000815531"
"1960100032000011399";"01949752019011701992"
"1110100382500020729";"01156182025002865979"
"1960100031900097580";"01949752019013511007"
"1960100032500052336";"01949752025008221116"
"1960100032400061667";"019155652024011503411"
"1960100032400043669";"01949752024004993938"
"1960100032400094190";"01949752024010272911"
"1960100032400094379";"01949752024019115818"
"1960100032000094715";"01949752020012357839"
"1110100462300039587";"01155792023006205963"
"1960100032200027296";"01949752022004835915"
"1960100032200014771";"01949752022003245651"
"1960100032200039162";"01949752022006795171"
"1960100032200096301";"01949752022018227807"
"2080100232400002334";"030150102024021283786"
"1960100032500110433";"01950502025021518018"
"1960100032500006849";"01949752025000534191"
"1960100032500077304";"01949752025017546740"
"1960100032500000972";"01949752025000526767"
"1960100032500006903";"01949752025000561597"
"1960100032500070717";"01949752025015298161"
"1960100032500023433";"01949752025003654880"
"1960100032500031568";"01949752025006603071"
"1960100032500094500";"019127922025012381713"
"1960100032500108439";"01949752025023889491"
"1960100032200052363";"01949752022008405711"
"2130100012100019908";"06914652021000361370"
"3280200012500019479";"03222982025000197248"
"3280200012500020361";"03222982025000406424"
"1960100032100102285";"01949752021011781531"
"1960100032100111187";"01949752021014232554"
"1960100032400078314";"01949752024007755361"
"1960100032400080017";"01949752024014539822"
"1960100032400079582";"01949752024014539822"
"1110100462200064097";"01155792022007145050"
"1010100012400018977";"01023912024000263900"
"1960100032300051363";"01949752023010794266"
"1960100032300016339";"01949752023003445413"
"1960100032300108047";"01949752023021414788"
"3210100032500023997";"03213132025000633009"
"3210100032500032899";"03213132025001253480"
"1130100322300000530";"07478542023003376906"
"2130100012400001471";"06914652023000652384"
"3410100012400009207";"042172942024000113030"
"1960100032100101564";"01949752021010914901"
"1110100382500012971";"01156182024000106972"
"1130300012400043741";"07174782024004024418"
"1960100031900091930";"01949752019010096734"
"1960100031900046013";"01949752019001175112"
"1960100031900093763";"01949752019010097200"
"1960100542500019508";"01985312025015385007"
"2220100012300011114";"05445792023000294325"
"1960100032400079361";"01949752024013347113"
"1960100032400034651";"01950502023018544737"
"1960100032400012135";"01949752024002073921"
"1960100032400109147";"01949752024022037261"
"1960100032400102843";"01949752024020861269"
"2130100012500017478";"06914862025000167054"
"1110100942500013985";"01155712025008538661"
"1960100032500014132";"01949752025001340616"
"1110100942500014681";"01155742025006901477"
"1960100032200012124";"01949752022002698155"
"1960100032200022448";"01949752022004428431"
"1960100032200026567";"01949752022004835583"
"1960100032200015670";"01949752022002946582"
"1960100032200105130";"01949752022019598159"
"1960100032500109893";"01949752025024212371"
"1960100032500050406";"01949752025010438674"
"1960100032500070679";"01949752025015297866"
"1960100032500035121";"01949752025006598646"
"1960100032500023107";"01949752025002421318"
"1960100032500005516";"01949752025000563883"
"2130100012100014280";"06914652021000083469"
"2130100012100013691";"06914652021000083469"
"3280200012600005677";"03222982026000208721"
"1050100011900015282";"03249432019000419456"
"3280200012500018324";"03222982024001216679"
"3280200012500041725";"03222982025000698701"
"3280200012500036391";"03222982025000725619"
"1960100032100017296";"01949752021002883628"
"1960100032100024438";"01949752021002980071"
"1960100032100102854";"01949752021011531691"
"1960100032100105446";"01949752021011089114"
"1110100382300013276";"01155202023005686243"
"1110100382000002633";"01156162020001338259"
"1960100032400079833";"01949752024014539822"
"2810100012100009256";"02822052021000218314"
"3280200012400052501";"03222982024000606414"
"1960100032300050911";"01949752023010852215"
"1960100032300080673";"01949752023016236575"
"3210100032500020701";"03213132025000591080"
"3210100032500014009";"03213132025000517785"
"3210100032500021889";"03213132025000869380"
"3210100032500009811";"03213132025000185928"
"1960100042300016301";"01951552023010962078"
"1130200012400065891";"07241552024003962111"
"3410100022500004045";"04228292025000086835"
"1110100382500011533";"01156182024000106972"
"1960100031900064437";"01949752019007812416"
"1960100031900024389";"01949752019001128378"
"1960100031900064542";"01949752019007825496"
"1960100032400017137";"01949752024001416859"
"1960100032400011971";"01949752024002131122"
"1960100032400018567";"01949752024003571142"
"1960100032400054350";"01949752024010274956"
"1960100032400013311";"01949752024002649067"
"1960100032400053613";"01950502023016828690"
"1960100032400053508";"01950502023016828690"
"1110100942500005796";"01155712025006266311"
"1110100382100034681";"01156162021004920880"
"1110100382100034728";"01156162021004920880"
"1960100032000032825";"01949752020002789931"
"1960100032200101747";"01949752022018526898"
"1960100032200027288";"01949752022004835915"
"1960100032200079474";"01949752022014292396"
"1960100032200027784";"01949752022004838922"
"1960100032200012558";"01949752022002877327"
"1960100032500109753";"01949752025024212371"
"1960100032500070571";"01949752025015297866"
"1960100032500001601";"01949752025000521536"
"1960100032500030081";"01949752025006602007"
"1960100032500065500";"01949752025010864851"
"1960100032500103429";"01949752025023890406"
"1960100032500108919";"01949752025023889491"
